
1624905417.110334,A1DKVUTOBPQH11,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1DKVUTOBPQH11'}
1624905425.926469,A1DKVUTOBPQH11,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1DKVUTOBPQH11'}
1624905457.285956,A1DKVUTOBPQH11,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1DKVUTOBPQH11'}
1624905485.34284,A1DKVUTOBPQH11,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1DKVUTOBPQH11'}
1624906197.13368,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1DKVUTOBPQH11'}
1624906197.528654,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1DKVUTOBPQH11'}
1624906198.458536,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624906198.459028,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624906199.280476,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624906199.372253,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624906200.200792,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1DKVUTOBPQH11'}
1624906200.616146,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1DKVUTOBPQH11'}
1624906201.117292,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1DKVUTOBPQH11'}
1624906201.740399,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1DKVUTOBPQH11'}
1624906201.785308,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1DKVUTOBPQH11'}
1624906202.346687,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1DKVUTOBPQH11'}
1624906202.96467,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1DKVUTOBPQH11'}
1624906202.965495,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1DKVUTOBPQH11'}
1624906203.577051,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1DKVUTOBPQH11'}
1624906204.542964,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624906205.119907,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1DKVUTOBPQH11'}
1624906205.731808,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624906224.571418,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624906226.308087,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1DKVUTOBPQH11'}
1624906227.016702,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1DKVUTOBPQH11'}
1624906227.917454,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1DKVUTOBPQH11'}
1624906228.457237,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1DKVUTOBPQH11'}
1624906228.767595,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1DKVUTOBPQH11'}
1624906236.852008,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624906236.85129,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1DKVUTOBPQH11'}
1624906266.859009,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624906269.009424,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624906269.519441,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1DKVUTOBPQH11'}
1624906269.769692,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906269.888615,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1DKVUTOBPQH11'}
1624906270.566421,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624906270.67728,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1DKVUTOBPQH11'}
1624906271.470581,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1DKVUTOBPQH11'}
1624906271.471531,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1DKVUTOBPQH11'}
1624906272.082409,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624906272.119177,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1DKVUTOBPQH11'}
1624906272.69588,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624906272.743857,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1DKVUTOBPQH11'}
1624906273.623076,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1DKVUTOBPQH11'}
1624906273.622376,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1DKVUTOBPQH11'}
1624906274.23179,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1DKVUTOBPQH11'}
1624906274.233222,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1DKVUTOBPQH11'}
1624906274.844089,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1DKVUTOBPQH11'}
1624906274.844971,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1DKVUTOBPQH11'}
1624906275.558808,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1DKVUTOBPQH11'}
1624906275.768047,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1DKVUTOBPQH11'}
1624906276.382434,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1DKVUTOBPQH11'}
1624906276.463759,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1DKVUTOBPQH11'}
1624906276.794601,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1DKVUTOBPQH11'}
1624906277.306393,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624906277.799739,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1DKVUTOBPQH11'}
1624906278.32454,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624906300.654677,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624906300.65556,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A1DKVUTOBPQH11'}
1624906300.783011,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'complete', 'score': 77, 'worker-id': 'A1DKVUTOBPQH11'}
1624906306.004521,A1DKVUTOBPQH11,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1DKVUTOBPQH11'}
1624906361.788702,A1DKVUTOBPQH11,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1DKVUTOBPQH11'}
1624906495.494759,A1DKVUTOBPQH11,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A1DKVUTOBPQH11'}
1624906516.613002,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906518.763604,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.79,0.76]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906520.606419,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6985714285714286,0.6114285714285714]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906521.655926,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5728571428571428,0.5357142857142857]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906524.603868,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5771428571428572,0.5342857142857143]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906525.216181,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5771428571428572,0.5371428571428571]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906525.313071,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5771428571428572,0.5371428571428571]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906536.586135,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906536.694844,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906536.896442,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906537.07842,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906544.262816,A1DKVUTOBPQH11,{'action': 'deselect-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906558.393914,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906559.120538,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8271428571428572,0.6742857142857143]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906560.046213,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8214285714285714,0.7042857142857143]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906561.098954,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6471428571428571,0.92]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906562.386456,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906563.30732,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6285714285714286,0.9257142857142857]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906564.908502,A1DKVUTOBPQH11,{'action': 'deselect-vehicle', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906569.119908,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906570.06646,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6928571428571428,0.9542857142857143]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906573.44725,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906581.127356,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906583.889545,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5714285714285714,0.5442857142857143]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906586.041922,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906587.580176,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7957142857142857,0.7685714285714286]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906594.028309,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7228571428571429,0.6771428571428572]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906597.102802,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906600.684341,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.66,0.8814285714285715]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906602.018945,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906603.861163,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5328571428571428,0.5528571428571428]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906604.546907,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.52]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906604.80942,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.52]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906605.189538,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.52]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906605.495813,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5857142857142857,0.9285714285714286]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906607.280036,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5742857142857143,0.9742857142857143]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906608.442081,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906609.08998,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6428571428571429,0.9242857142857143]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906609.673412,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5814285714285714,0.9814285714285714]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906614.925343,A1DKVUTOBPQH11,{'stage': 0, 'action': 'reset map', 'worker-id': 'A1DKVUTOBPQH11'}
1624906616.106039,A1DKVUTOBPQH11,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A1DKVUTOBPQH11'}
1624906623.830764,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906624.539761,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7257142857142858,0.7657142857142857]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906631.511345,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6114285714285714,0.6514285714285715]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906634.889149,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5928571428571429,0.6428571428571429]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906636.424779,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906638.575675,A1DKVUTOBPQH11,{'action': 'deselect-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906643.281489,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906643.797623,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906644.048377,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906650.554592,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906652.109813,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6828571428571428,0.5685714285714286]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906655.262333,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.57,0.5557142857142857]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906657.314259,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906657.620993,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906658.235017,A1DKVUTOBPQH11,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.6,0.5842857142857143]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906659.875525,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6228571428571429,0.61]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906664.377183,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6585714285714286,0.61]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906668.37512,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906668.883807,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906670.407933,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6571428571428571,0.5742857142857143]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906672.364378,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5571428571428572,0.5842857142857143]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906674.21222,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906674.222818,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906675.117317,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5571428571428572,0.5728571428571428]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906680.184395,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906684.657492,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6328571428571429,0.7871428571428571]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906690.192717,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906696.328594,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906698.479371,A1DKVUTOBPQH11,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.6071428571428571,0.7028571428571428]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906699.707438,A1DKVUTOBPQH11,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.6414285714285715,0.7628571428571429]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906700.285898,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906700.659689,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906701.244094,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906701.406421,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906701.856133,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906702.26384,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906702.779057,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6814285714285714,0.75]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906704.316706,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906706.470355,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906706.880162,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906707.417469,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6514285714285715,0.6757142857142857]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906709.604671,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7157142857142857,0.7228571428571429]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906710.766434,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5971428571428572,0.6442857142857142]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906711.904363,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906712.058582,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906712.748429,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906713.425099,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.57,0.6371428571428571]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906726.126478,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5242857142857142,0.55]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906730.430503,A1DKVUTOBPQH11,{'stage': 0, 'action': 'stage-complete', 'object': 'distance-traveled:0,0,0,0', 'worker-id': 'A1DKVUTOBPQH11'}
1624906730.431195,A1DKVUTOBPQH11,{'stage': 0, 'action': 'stage-complete', 'object': 'distance-traveled:0,0,0,0', 'worker-id': 'A1DKVUTOBPQH11'}
1624906730.610317,A1DKVUTOBPQH11,{'stage': 0, 'action': 'stage-complete', 'object': 'distance-traveled:0,0,0,0', 'worker-id': 'A1DKVUTOBPQH11'}
1624906730.863042,A1DKVUTOBPQH11,{'stage': 0, 'action': 'stage-complete', 'object': 'distance-traveled:0,0,0,0', 'worker-id': 'A1DKVUTOBPQH11'}
1624906730.8819,A1DKVUTOBPQH11,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 0}
1624906731.111957,A1DKVUTOBPQH11,{'stage': 0, 'action': 'stage-complete', 'object': 'distance-traveled:0,0,0,0', 'worker-id': 'A1DKVUTOBPQH11'}
1624906731.115807,A1DKVUTOBPQH11,{'stage': 0, 'action': 'user confirmed end of stage, redirecting', 'worker-id': 'A1DKVUTOBPQH11'}
1624906731.736626,A1DKVUTOBPQH11,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A1DKVUTOBPQH11'}
1624906749.19441,A1DKVUTOBPQH11,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 2}
1624906750.091094,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8142857142857143,0.8814285714285715]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 2}
1624906761.165023,A1DKVUTOBPQH11,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8771428571428571,0.6871428571428572]', 'worker-id': 'A1DKVUTOBPQH11', 'stage': 2}
