
1617475675.555615,A1QEQOI98976S0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1QEQOI98976S0'}
1617475694.165032,A1QEQOI98976S0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1QEQOI98976S0'}
1617476218.274077,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476218.900674,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617476219.320589,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QEQOI98976S0'}
1617476220.048599,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QEQOI98976S0'}
1617476221.094126,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617476222.853476,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476222.856495,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QEQOI98976S0'}
1617476252.865743,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476255.127933,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QEQOI98976S0'}
1617476255.338764,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QEQOI98976S0'}
1617476256.862284,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617476257.055859,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617476258.070665,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QEQOI98976S0'}
1617476258.385748,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QEQOI98976S0'}
1617476259.743623,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QEQOI98976S0'}
1617476260.576325,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617476261.516814,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617476262.259621,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476262.257639,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476263.082154,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476263.918689,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476264.54546,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476265.173556,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476266.132211,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QEQOI98976S0'}
1617476266.634698,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QEQOI98976S0'}
1617476267.47017,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QEQOI98976S0'}
1617476268.308037,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QEQOI98976S0'}
1617476269.141369,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476270.189479,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617476271.650018,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476271.858445,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476273.132887,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476273.319458,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476274.468634,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476275.204981,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476275.931011,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476276.027277,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476276.244931,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476278.882451,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476280.73743,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QEQOI98976S0'}
1617476280.7356,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476310.714111,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476314.7348,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476314.999499,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QEQOI98976S0'}
1617476315.884613,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476316.143536,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QEQOI98976S0'}
1617476317.19309,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617476317.315438,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617476317.502341,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617476318.024993,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617476318.251977,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617476318.624184,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QEQOI98976S0'}
1617476319.904281,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476320.113906,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QEQOI98976S0'}
1617476321.470921,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476321.682159,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476322.140724,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476322.528596,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476322.72451,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476323.246812,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QEQOI98976S0'}
1617476324.280811,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476324.604399,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QEQOI98976S0'}
1617476326.379897,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476326.588876,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QEQOI98976S0'}
1617476327.665355,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617476327.764865,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QEQOI98976S0'}
1617476328.886843,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QEQOI98976S0'}
1617476328.909457,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QEQOI98976S0'}
1617476329.513936,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QEQOI98976S0'}
1617476330.140133,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QEQOI98976S0'}
1617476330.349578,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QEQOI98976S0'}
1617476330.871379,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QEQOI98976S0'}
1617476331.498172,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617476331.915797,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617476331.995818,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QEQOI98976S0'}
1617476333.274887,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QEQOI98976S0'}
1617476333.484526,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QEQOI98976S0'}
1617476334.527091,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476334.689227,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476334.946025,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476335.601527,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476336.198362,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QEQOI98976S0'}
1617476337.556326,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476337.697102,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476338.287577,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QEQOI98976S0'}
1617476339.332392,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476339.854174,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476340.167712,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476340.792645,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476341.212396,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QEQOI98976S0'}
1617476342.572169,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QEQOI98976S0'}
1617476343.46202,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QEQOI98976S0'}
1617476345.108798,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617476345.114022,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A1QEQOI98976S0'}
1617476345.201796,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'complete', 'score': 25, 'worker-id': 'A1QEQOI98976S0'}
1617476349.772802,A1QEQOI98976S0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1QEQOI98976S0'}
1617476355.316586,A1QEQOI98976S0,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1QEQOI98976S0'}
1617476373.999159,A1QEQOI98976S0,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A1QEQOI98976S0'}
1617476401.418434,A1QEQOI98976S0,{'stage': 0, 'action': 'reset map', 'worker-id': 'A1QEQOI98976S0'}
1617476402.329948,A1QEQOI98976S0,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A1QEQOI98976S0'}
1617476411.718557,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476411.928436,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476413.074189,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476413.282362,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476414.118328,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476414.849493,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.37168,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.375019,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.376532,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.396787,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.406096,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.470525,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.489445,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.501089,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.536958,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.562355,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.610283,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.639991,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.668543,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.701855,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.73742,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.766623,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.811827,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476415.828198,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476416.071073,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476416.692899,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.004438,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.569501,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.571407,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.572555,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.605709,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.655413,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.713987,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.720614,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.746667,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.774818,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.804822,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.836049,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.91817,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.923996,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.944603,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476417.974261,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.010122,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.042341,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.067365,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.097824,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.148338,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.178259,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.206536,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.23984,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.270671,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.298613,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.33195,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.378504,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.412997,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.438921,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.469993,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.501238,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.53411,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.567929,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476418.861341,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476419.710329,A1QEQOI98976S0,{'action': 'deselect-vehicle', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476427.382885,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476428.120196,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476428.470252,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476428.902309,A1QEQOI98976S0,{'action': 'deselect-vehicle', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476430.412609,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476431.04016,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476431.146094,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476431.351808,A1QEQOI98976S0,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476432.292617,A1QEQOI98976S0,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.6557142857142857,0.7354761832101004]', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476433.325842,A1QEQOI98976S0,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.6457142857142857,0.7226190403529575]', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476433.650347,A1QEQOI98976S0,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476433.674081,A1QEQOI98976S0,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.6457142857142857,0.7226190403529575]', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476435.00822,A1QEQOI98976S0,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.5385714285714286,0.6997618974958147]', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476436.774894,A1QEQOI98976S0,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.3942857142857143,0.5540476117815291]', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476438.035691,A1QEQOI98976S0,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.49857142857142855,0.48547618321010044]', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476439.395679,A1QEQOI98976S0,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8257142857142857,0.5111904689243861]', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476440.753283,A1QEQOI98976S0,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.76,0.5069047546386719]', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476441.237875,A1QEQOI98976S0,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.7685714285714286,0.5097618974958147]', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
1617476442.633074,A1QEQOI98976S0,{'action': 'add-invalid-waypoint', 'target': 'UGV1', 'location': '[0.5485714285714286,0.44976189749581474]', 'worker-id': 'A1QEQOI98976S0', 'stage': 0}
