
1614276459.916579,A15AGJDQAZP1DI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A15AGJDQAZP1DI'}
1614277291.540822,A15AGJDQAZP1DI,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A15AGJDQAZP1DI'}
1614277305.224156,A15AGJDQAZP1DI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A15AGJDQAZP1DI'}
1614277651.575517,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A15AGJDQAZP1DI'}
1614277653.45733,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15AGJDQAZP1DI'}
1614277654.081557,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15AGJDQAZP1DI'}
1614277655.231992,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15AGJDQAZP1DI'}
1614277657.110805,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15AGJDQAZP1DI'}
1614277659.275384,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15AGJDQAZP1DI'}
1614277663.899967,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A15AGJDQAZP1DI'}
1614277664.539167,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A15AGJDQAZP1DI'}
1614277665.780057,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A15AGJDQAZP1DI'}
1614277666.303527,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A15AGJDQAZP1DI'}
1614277667.974792,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A15AGJDQAZP1DI'}
1614277668.810467,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A15AGJDQAZP1DI'}
1614277670.268282,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277670.68909,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277672.881996,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A15AGJDQAZP1DI'}
1614277675.808627,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277676.120151,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277677.479279,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277677.481547,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277702.107461,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A15AGJDQAZP1DI'}
1614277702.546745,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A15AGJDQAZP1DI'}
1614277704.113267,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A15AGJDQAZP1DI'}
1614277704.425612,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A15AGJDQAZP1DI'}
1614277705.994138,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15AGJDQAZP1DI'}
1614277705.996396,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A15AGJDQAZP1DI'}
1614277707.456506,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A15AGJDQAZP1DI'}
1614277707.458977,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A15AGJDQAZP1DI'}
1614277709.55331,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277709.677911,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A15AGJDQAZP1DI'}
1614277714.501042,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A15AGJDQAZP1DI'}
1614277714.613402,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A15AGJDQAZP1DI'}
1614277715.497852,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A15AGJDQAZP1DI'}
1614277720.343968,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277720.347229,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277721.87036,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277721.872288,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277726.675323,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15AGJDQAZP1DI'}
1614277731.165635,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277731.168038,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.004195,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.019623,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.029632,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.315575,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.356697,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.364075,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.391163,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.499906,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.634732,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.656701,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.827537,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277732.829946,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.153046,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.151794,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.199029,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.200145,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.467121,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.465236,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.58607,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.590111,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.777121,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.77935,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.911235,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277733.909274,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.089048,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.091381,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.210402,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.212741,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.342233,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.344698,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.475067,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.478774,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.591424,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.595752,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.71499,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.712843,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.92665,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.928732,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.969417,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277734.971496,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277735.083076,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277735.085257,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277735.338506,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277735.34086,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
1614277735.388873,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A15AGJDQAZP1DI'}
1614277735.393549,A15AGJDQAZP1DI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15AGJDQAZP1DI'}
