
1616340973.360664,A2GTO3481Z6486,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2GTO3481Z6486'}
1616341005.236183,A2GTO3481Z6486,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2GTO3481Z6486'}
1616341663.018262,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5457142857142857,0.5242857142857142]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341672.000224,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341672.627639,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341673.044769,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341675.969428,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5542857142857143,0.53]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341676.910401,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.52]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341677.74602,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5228571428571429,0.5128571428571429]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341684.11551,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341684.329191,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341684.396145,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341684.548212,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341684.681315,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341684.908195,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341685.049265,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341685.152539,A2GTO3481Z6486,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341689.548595,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6642857142857143,0.4471428571428571]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341693.311899,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6714285714285714,0.8571428571428571]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341696.026827,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341701.245734,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341704.273441,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341705.11151,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6971428571428572,0.6857142857142857]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341708.986314,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7457142857142857,0.6942857142857143]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341719.314823,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341719.852041,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341720.674497,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8328571428571429,0.6371428571428571]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341732.790042,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341735.090059,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341736.445121,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.1357142857142857,0.41285714285714287]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341746.575952,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341747.204078,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.8942857142857142,0.6285714285714286]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341748.038864,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5928571428571429,0.5614285714285714]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341748.664832,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5214285714285715,0.5228571428571429]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341749.292905,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5157142857142857,0.5128571428571429]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341751.067127,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341751.799651,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6742857142857143,0.6514285714285715]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341753.303895,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341754.837867,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341755.455822,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6,0.62]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341757.290725,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5042857142857143,0.5057142857142857]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341757.862,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5028571428571429,0.5042857142857143]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341761.408142,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341762.767853,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6014285714285714,0.56]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341763.914854,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341765.170937,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5742857142857143,0.9642857142857143]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341765.798867,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5728571428571428,0.9657142857142857]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341766.844758,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341767.152265,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341779.054269,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.67,0.8]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341779.7932,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6342857142857142,0.8285714285714286]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341780.83672,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5857142857142857,0.99]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341781.56838,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6257142857142857,0.9171428571428571]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341782.015748,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5942857142857143,0.94]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341783.655517,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.57,0.9785714285714285]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341784.178761,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5685714285714286,0.99]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341784.597328,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5714285714285714,0.9871428571428571]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341784.704482,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5714285714285714,0.9871428571428571]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341791.074431,A2GTO3481Z6486,{'stage': 0, 'action': 'reset map', 'worker-id': 'A2GTO3481Z6486'}
1616341792.391104,A2GTO3481Z6486,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A2GTO3481Z6486'}
1616341795.667222,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341802.875724,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6485714285714286,0.6985714285714286]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341822.406246,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341823.348124,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5857142857142857,0.8828571428571429]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341823.97424,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5885714285714285,0.8814285714285715]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341825.439371,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6742857142857143,0.5857142857142857]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341828.257422,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7271428571428571,0.5428571428571428]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341828.882427,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.72,0.5642857142857143]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341829.302435,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7171428571428572,0.5642857142857143]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341840.321841,A2GTO3481Z6486,{'stage': 0, 'action': 'reset map', 'worker-id': 'A2GTO3481Z6486'}
1616341841.522574,A2GTO3481Z6486,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A2GTO3481Z6486'}
1616341846.952098,A2GTO3481Z6486,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341848.415019,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6542857142857142,0.8357142857142857]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
1616341862.31463,A2GTO3481Z6486,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6971428571428572,0.6957142857142857]', 'worker-id': 'A2GTO3481Z6486', 'stage': 0}
